,DC_TTS_Camila_Godoy,DC_TTS_Celeste_Arretche,DC_TTS_LucasDiaz,DC_TTS_MaxSignorini,DC_TTS_Miguel_Grassi,DC_TTS_NaomiBent,DC_TTS_SanMig,Fastpitch_MultiSpeaker,Fastpitch_ar,Fastpitch_esp,Fastpitch_esp2,Loquendo_f,PollyN_Fiona,PollyN_Pedro,Polly_Enrique,Polly_Lupe,Polly_Mia,Polly_Miguel,Polly_Penelope,Polly_conchita,Polly_enrique_GL,Speechelo_Albano,Speechelo_Fiore,Speechelo_olimpia,Speechelo_pricila,VTLPes-AR-Tomas,VTLPes-AR-TomasElena,VTLPes-BO-MarceloNeural,VTLPes-ES-ElviraNeural,azure_AR-Elena,azure_AR-Tomas,es-BO-MarceloNeural,es-BO-SofiaNeural,es-ES-AlvaroNeural,es-ES-ElviraNeural,es-MX-JorgeNeural,es_ar_librivox,neruas_f1_arg,neruas_f2_arg,neruas_m1_arg,neruas_m2_arg,open_srl_es_ar_female_1,open_srl_es_ar_female_2,open_srl_es_ar_male_1,open_srl_es_ar_male_1_GL,open_srl_es_ar_male_2,open_srl_es_ar_male_3,speecheloAI_Leticia,speecheloAI_Olimpia,speechelo_lalita,tiktok_m1,tiktok_m2,tts_dewhitte
Speechelo_olimpia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7437053481204202,1.0,0.2099114884333356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28778373294015064,0.0003456469347566238,1.179714412477629e-05,0.3494634917513659,1.0,1.0,0.39676415543089055,1.0,0.013226602934825627,1.0642533190398005e-26,0.6280894901041167,1.0,1.0,1.0,3.1298864689066777e-28,6.1201527586127045e-30,3.628124004363627e-27,4.5772550340322374e-18,6.968588020975279e-30,4.488749238071843e-30,0.006825596917443613,1.0,1.0,1.0,1.0,0.24450345053490005
Speechelo_pricila,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6602538745258935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006364283778728675,2.144081350720073e-06,0.0006276168915581733,1.0,1.0,1.0,1.0,1.0,0.27573573392758827,2.3889524531387036e-23,1.0,1.0,1.0,1.0,5.322535212567954e-25,1.3342712282633452e-26,4.6605336636168396e-24,3.294876993812451e-15,1.400048038276241e-26,1.0266623362109714e-26,0.19763935032791122,1.0,1.0,1.0,1.0,0.004362997591653912
VTLPes-AR-Tomas,1.0,1.0,0.09633848800551008,1.0,1.0,1.0,1.0,1.0,0.00023666555136739865,0.017199868096855614,4.217197819371756e-05,1.0,0.07690232485426758,0.0011914973599452781,0.11886320202740129,1.0,1.0,1.0,1.0,1.0,1.0,0.04192108516553909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.652833367663284e-10,0.0005406040901034783,0.009569506545050592,1.0,0.0002531014488761827,1.0,4.8036224715844815e-06,9.382795844836377e-34,0.001256354520247169,1.0,1.0,1.0,4.45919134865077e-35,5.94365323677224e-37,8.198715314384758e-34,2.3414801280696033e-24,7.722495557602655e-37,4.043291023924657e-37,1.0753428606184939e-06,1.0,1.0,1.0,1.0,1.0
VTLPes-AR-TomasElena,1.0,1.0,0.09633848800551008,1.0,1.0,1.0,1.0,1.0,0.00023666555136739865,0.017199868096855614,4.217197819371756e-05,1.0,0.07690232485426758,0.0011914973599452781,0.11886320202740129,1.0,1.0,1.0,1.0,1.0,1.0,0.04192108516553909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.652833367663284e-10,0.0005406040901034783,0.009569506545050592,1.0,0.0002531014488761827,1.0,4.8036224715844815e-06,9.382795844836377e-34,0.001256354520247169,1.0,1.0,1.0,4.45919134865077e-35,5.94365323677224e-37,8.198715314384758e-34,2.3414801280696033e-24,7.722495557602655e-37,4.043291023924657e-37,1.0753428606184939e-06,1.0,1.0,1.0,1.0,1.0
VTLPes-BO-MarceloNeural,1.0,9.84897447167693e-05,2.1695043379097496e-07,0.6257574411037832,1.0,1.0,1.0,1.0,4.993180000265623e-13,9.350878105902307e-10,2.6118721586445217e-14,1.0,1.7027020950817373e-07,2.2900704913340233e-10,4.816071625192755e-07,0.01760967374245852,6.84527303132601e-05,0.0012867279722329921,0.006432182043882883,0.5153839533777407,0.037641521002464644,1.396710289555422e-07,0.016550772138092515,0.28778373294015064,0.006364283778728675,1.0,1.0,1.0,1.0,1.4803452303888396e-19,1.3255366782441394e-09,9.154488545357434e-09,0.0015135903176607048,2.050483762346649e-11,0.08522133507522808,2.1871465219903913e-13,5.751962492333743e-57,5.762767212103361e-09,1.0,0.008327733827156904,1.0,6.198439687892733e-56,4.18397840243924e-59,4.0729709739504554e-53,1.3403296193992874e-42,1.9265013873504226e-58,1.4084018045838195e-59,1.9080916626194536e-15,0.010265770849461672,0.04114284484995211,1.0,1.0,1.0
VTLPes-ES-ElviraNeural,0.020888678311650213,5.069845640335168e-09,3.780626193206709e-12,0.030465533084447417,1.0,0.02163062092773185,1.0,0.2580340949678339,1.792663419068798e-19,1.3583360130136613e-15,5.700161334855665e-21,0.7833870480934264,3.0747846177465863e-12,1.3906088103379927e-15,1.2913320437083815e-11,5.5334434479863216e-06,5.376466368394051e-09,2.223118669320008e-06,1.6151842923332899e-06,0.0005273210031474177,2.4512172539664215e-05,3.953237612637385e-12,6.729555331625433e-06,0.0003456469347566238,2.144081350720073e-06,1.0,1.0,1.0,1.0,6.209707098924507e-26,5.66149023242031e-14,1.286225202265973e-13,5.58206501788966e-07,8.544162826084519e-17,4.035488798985276e-05,1.0055801610140475e-18,1.1690135883320449e-67,3.5401165120222767e-13,1.0,4.950910542418344e-06,1.0,7.850010544551596e-66,2.331281956719372e-69,1.5606581359529762e-62,5.381524220130664e-52,1.588051471331785e-68,6.375407753123247e-70,1.3267200015378783e-21,2.4503267086001944e-06,1.7184965615502397e-05,1.0,1.0,1.0
azure_AR-Elena,5.426999229805451e-12,0.0005776939801148573,0.20227104455803424,1.0,1.0,2.2222675193554335e-10,0.0735033040025984,1.5911650605612438e-18,1.0,0.03499258125980913,1.0,2.593338134473444e-13,0.3145224163193957,1.0,0.3231461994569178,2.1648605645830383e-05,0.009407157450795853,1.0,0.00010999974359790996,2.9377094454348434e-07,0.00020682997971290844,1.0,0.00013226913816425788,1.179714412477629e-05,0.0006276168915581733,6.652833367663284e-10,6.652833367663284e-10,1.4803452303888396e-19,6.209707098924507e-26,1.0,1.0,1.0,0.028221120359882654,1.0,1.480318196563626e-06,1.0,0.0009432510431548776,1.0,1.0,0.007173862234468744,1.0,1.237966350249771e-05,2.9202819509785253e-06,1.4236828385064978e-05,1.0,1.8855670906027904e-06,3.149238843422809e-06,1.0,2.0220978453012863e-05,8.604874128191877e-06,0.07731875040143826,1.0,8.523699912839715e-21
azure_AR-Tomas,0.00022596589782450697,1.0,1.0,1.0,1.0,0.0011494381461904764,1.0,1.7404697470429967e-07,1.0,1.0,1.0,1.872027745166689e-05,1.0,1.0,1.0,0.785865699290525,1.0,1.0,1.0,0.06152662118844898,1.0,1.0,1.0,0.3494634917513659,1.0,0.0005406040901034783,0.0005406040901034783,1.3255366782441394e-09,5.66149023242031e-14,1.0,1.0,1.0,1.0,1.0,0.187414174661247,1.0,3.1954738219751187e-06,1.0,1.0,1.0,1.0,4.084783092260076e-08,9.393274748740804e-09,4.8643630151291264e-08,0.013948066281424153,6.08666896797457e-09,1.0108041499609068e-08,1.0,0.8387584622832446,0.45605586072548215,1.0,1.0,5.175607227137262e-10
es-BO-MarceloNeural,0.0036556599107290455,1.0,1.0,1.0,1.0,0.020344091952270812,1.0,1.0554530699882886e-06,1.0,1.0,1.0,0.000276145268503056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009569506545050592,0.009569506545050592,9.154488545357434e-09,1.286225202265973e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.896093707061657e-14,1.0,1.0,1.0,1.0,4.212536204662086e-16,2.6151248608800157e-17,1.449076704019188e-15,7.761159195034387e-08,2.1106962975770206e-17,2.367284248748066e-17,1.0,1.0,1.0,1.0,1.0,2.624404722609281e-09
es-BO-SofiaNeural,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15620204306846575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015135903176607048,5.58206501788966e-07,0.028221120359882654,1.0,1.0,1.0,1.0,1.0,1.0,8.625058263170874e-18,1.0,1.0,1.0,1.0,9.784950964831856e-20,5.694169513291394e-21,3.6938953683597693e-19,3.220074762208515e-11,4.6654450678386804e-21,5.111328264764131e-21,1.0,1.0,1.0,1.0,1.0,0.0010362451456125824
es-ES-AlvaroNeural,3.906321025079953e-05,1.0,1.0,1.0,1.0,0.00037029377540141446,1.0,1.4467025972073832e-09,1.0,1.0,1.0,2.372018700085693e-06,1.0,1.0,1.0,0.9132635253190763,1.0,1.0,1.0,0.0478877318909838,1.0,1.0,1.0,0.39676415543089055,1.0,0.0002531014488761827,0.0002531014488761827,2.050483762346649e-11,8.544162826084519e-17,1.0,1.0,1.0,1.0,1.0,0.16908719145517534,1.0,1.0847247424444711e-11,1.0,1.0,1.0,1.0,1.0628891310463621e-13,8.343808104709826e-15,2.919745351596162e-13,6.491164824326582e-06,6.366877834225046e-15,7.839609943520041e-15,1.0,0.9640981815602695,0.4896412139038599,1.0,1.0,3.684920634323825e-12
es-ES-ElviraNeural,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2588370338915003,1.0,0.05899799013350832,1.0,1.0,0.6191577364049438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08522133507522808,4.035488798985276e-05,1.480318196563626e-06,0.187414174661247,1.0,1.0,0.16908719145517534,1.0,0.004357384418767011,1.8966590397032438e-31,0.3610807062630616,1.0,1.0,1.0,2.08916055675455e-32,1.5699987425062916e-34,6.791085049178667e-31,3.658643660642316e-21,2.546552668182694e-34,9.364771377684518e-35,0.001591477710729404,1.0,1.0,1.0,1.0,0.06361926592615076
es-MX-JorgeNeural,5.015037801291655e-07,0.4047498569491725,1.0,1.0,1.0,5.707196985751093e-06,0.7986433116644259,1.546607496202202e-11,1.0,1.0,1.0,2.9360707245557866e-08,1.0,1.0,1.0,0.02976453611096421,1.0,1.0,0.09339138802377238,0.0011273059297937278,0.11051860599927624,1.0,0.09296064010279985,0.013226602934825627,0.27573573392758827,4.8036224715844815e-06,4.8036224715844815e-06,2.1871465219903913e-13,1.0055801610140475e-18,1.0,1.0,1.0,1.0,1.0,0.004357384418767011,1.0,2.307490072383432e-06,1.0,1.0,1.0,1.0,2.5026365995854336e-08,4.634500980566686e-09,3.425881756960565e-08,0.02293128162615139,3.0528786039225586e-09,4.883699450501156e-09,1.0,0.030719480151658506,0.014778732172904603,0.7506654492759509,1.0,3.967052361535617e-14
